county,cnty_fips,c_tot_pop_c,c_tot_death_c,c_tot_lfex_c,c_tot_low_c,c_tot_up_c,c_tot_pop_h,c_tot_death_h,c_tot_lfex_h,c_tot_low_h,c_tot_up_h,c_tot_pop_b,c_tot_death_b,c_tot_lfex_b,c_tot_low_b,c_tot_up_b,c_tot_pop_w,c_tot_death_w,c_tot_lfex_w,c_tot_low_w,c_tot_up_w,c_fem_pop_c,c_fem_death_c,c_fem_lfex_c,c_fem_low_c,c_fem_up_c,c_fem_pop_h,c_fem_death_h,c_fem_lfex_h,c_fem_low_h,c_fem_up_h,c_fem_pop_b,c_fem_death_b,c_fem_lfex_b,c_fem_low_b,c_fem_up_b,c_fem_pop_w,c_fem_death_w,c_fem_lfex_w,c_fem_low_w,c_fem_up_w,c_mal_pop_c,c_mal_death_c,c_mal_lfex_c,c_mal_low_c,c_mal_up_c,c_mal_pop_h,c_mal_death_h,c_mal_lfex_h,c_mal_low_h,c_mal_up_h,c_mal_pop_b,c_mal_death_b,c_mal_lfex_b,c_mal_low_b,c_mal_up_b,c_mal_pop_w,c_mal_death_w,c_mal_lfex_w,c_mal_low_w,c_mal_up_w
Anderson,48001,55347,5996,73.84,73.45,74.24,,,,,,11913.55,1011,73.3,72.31,74.24,34708.398,4604,73.88,73.38,74.39,21957.65,2540,77.34,76.71000000000001,77.96000000000001,,,,,,,,,,,15839,2100,77.31,76.59,78.03,33389.352,3456,71.33,70.83,71.86,,,,,,8511.9004,618,71.42,70.24,72.68000000000001,18869.4,2504,71.16,70.52,71.84
Andrews,48003,14206.6,1211,75.65000000000001,74.86,76.44,,,,,,,,,,,6834.25,927,74.35000000000001,73.18000000000001,75.5,7173.1001,579,78.56,77.48,79.63,,,,,,,,,,,3485.45,459,77.44,75.85000000000001,79.03,7033.5,632,72.74,71.66,73.86,,,,,,,,,,,3348.8,468,71.40000000000001,69.65000000000001,73.06
Angelina,48005,83226.29700000001,8171,75.87000000000001,75.53,76.19,,,,,,12543.25,1181,71.79000000000001,70.89,72.7,54044.398,6659,75.72,75.33,76.12000000000001,42616.25,4072,78.7,78.25,79.14,,,,,,6650.5498,573,75.24,74.01000000000001,76.42,27720.551,3343,78.72,78.18000000000001,79.25,40610.051,4099,73,72.54000000000001,73.47,,,,,,5892.7002,608,67.99,66.75,69.22,26323.85,3316,72.78,72.2,73.36
Aransas,48007,21452.449,3098,74.89,74.18000000000001,75.60000000000001,,,,,,,,,,,16021.95,2741,74.46000000000001,73.58,75.32000000000001,10793.4,1385,78.62000000000001,77.69,79.58,,,,,,,,,,,8090.1001,1226,78.23,77.04000000000001,79.42,10659.05,1713,71.55,70.51000000000001,72.57000000000001,,,,,,,,,,,7931.8501,1515,71.09,69.82000000000001,72.34
Archer,48009,8292.200199999999,733,79.11,78.11,80.11,,,,,,,,,,,7736.6499,718,78.96000000000001,77.89,80.02,,,,,,,,,,,,,,,,,,,,,4140.3999,402,75.76000000000001,74.34,77.19,,,,,,,,,,,,,,,
Atascosa,48013,41844.898,3542,76.62000000000001,76.13,77.09,26648.449,1622,76.89,76.23,77.54000000000001,,,,,,14984.3,1899,76.28,75.53,77.01000000000001,21213.199,1580,80.37000000000001,79.72,81.03,13385.6,699,80.46000000000001,79.56,81.36,,,,,,7732.1499,872,80.2,79.18000000000001,81.22,20631.699,1962,73.12000000000001,72.46000000000001,73.78,13262.85,923,73.61,72.7,74.5,,,,,,7252.1499,1027,72.79000000000001,71.73,73.83
Austin,48015,26112.15,2620,77.41,76.85000000000001,77.98,,,,,,,,,,,17490.9,2189,77.63,76.94,78.32000000000001,13264.05,1345,79.84,79.05,80.60000000000001,,,,,,,,,,,8968.8496,1124,80.29000000000001,79.41,81.19,12848.1,1275,74.91,74.10000000000001,75.73,,,,,,,,,,,8522.049800000001,1065,75.21000000000001,74.24,76.18000000000001
Bailey,48017,6518,597,76.94,75.78,78.09,,,,,,,,,,,2361.8999,412,76.22,74.11,78.10000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandera,48019,18538.1,1885,80.60000000000001,79.89,81.31,,,,,,,,,,,15578.05,1766,80.01000000000001,79.25,80.78,9331.3496,815,83.13,82.14,84.06,,,,,,,,,,,7881.1499,769,82.57000000000001,81.48,83.61,9206.75,1070,78.29000000000001,77.3,79.32000000000001,,,,,,,,,,,7696.8999,997,77.66,76.55,78.74
Bastrop,48021,67854.54700000001,5530,77.22,76.85000000000001,77.58,22454.1,645,81.52,80.62000000000001,82.40000000000001,5286.9502,567,73.08,71.75,74.40000000000001,40113.5,4318,76.59,76.13,77.06,33008,2599,79.71000000000001,79.18000000000001,80.2,,,,,,,,,,,20152.65,2068,79.05,78.40000000000001,79.69,34846.551,2931,74.94,74.42,75.45,,,,,,,,,,,19960.85,2250,74.38,73.72,75.05
Baylor,48023,3293.95,584,73.83,72,75.59,,,,,,,,,,,2881.55,547,74.28,72.44,76.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,48025,30222.301,2269,77.44,76.88,77.98,17411.35,1146,75.7,74.94,76.42,,,,,,10077.1,1061,78.82000000000001,77.91,79.7,12237.9,1035,79.93000000000001,79.09,80.72,7755.75,503,78.83,77.74,79.87000000000001,,,,,,4057.75,511,80.92,79.62000000000001,82.25,17984.4,1234,75.2,74.45,75.92,9655.5996,643,73.05,72.02,74.01000000000001,,,,,,6019.3501,550,76.76000000000001,75.59,77.99
Bell,48027,283732.19,17917,78.05,77.85000000000001,78.24,64707.75,1543,82.40000000000001,81.8,83.01000000000001,64790.551,2797,77.7,77.15000000000001,78.24,154233.91,13577,77.72,77.47,77.96000000000001,141091,8565,80.75,80.48,81.01000000000001,31912.35,672,85.04000000000001,84.23,85.85000000000001,32152.4,1298,79.22,78.49,79.93000000000001,77026.25,6595,80.63,80.29000000000001,80.96000000000001,142641.2,9352,75.36,75.09,75.64,32795.398,871,79.54000000000001,78.67,80.43000000000001,32638.15,1499,76.74,75.89,77.58,77207.648,6982,74.89,74.54000000000001,75.22
Bexar,48029,1622498.8,110057,79.08,79,79.16,991618.1899999999,48850,79.59,79.49,79.7,121893.9,8728,76.53,76.2,76.84,508986.81,52479,79,78.88,79.13,823877.88,53874,81.86,81.75,81.96000000000001,503869.25,23158,82.52,82.37000000000001,82.66,62001.898,4271,79.31,78.87000000000001,79.73,258006.75,26445,81.63,81.45,81.79000000000001,798620.9399999999,56183,76.17,76.06,76.28,487748.91,25692,76.46000000000001,76.3,76.61,59892,4457,73.76000000000001,73.27,74.22,250980.05,26034,76.42,76.24,76.60000000000001
Blanco,48031,9125.299800000001,1027,78.06,76.99,79.16,,,,,,,,,,,7541.7002,961,77.69,76.43000000000001,78.91,4570.6499,521,80.75,79.39,82.11,,,,,,,,,,,3803.8501,486,80.62000000000001,79.04000000000001,82.16,4554.6499,506,75.56,73.94,77.22,,,,,,,,,,,3737.8501,475,75.22,73.35000000000001,77.13
Bosque,48035,15933.75,2423,75.59,74.86,76.32000000000001,,,,,,,,,,,13295.35,2317,75,74.14,75.83,8101.75,1220,78.49,77.5,79.47,,,,,,,,,,,6847.4502,1179,78.04000000000001,76.89,79.17,7832,1203,72.88,71.86,73.93000000000001,,,,,,,,,,,6447.8999,1138,72.23,71.05,73.39
Bowie,48037,88082.75,9116,76.29000000000001,75.98,76.60000000000001,,,,,,21970.4,1693,74.52,73.81,75.21000000000001,60653.949,7357,76.38,76.01000000000001,76.75,43846.648,4636,79.01000000000001,78.57000000000001,79.43000000000001,,,,,,10918.5,846,77.49,76.51000000000001,78.43000000000001,30844.85,3768,79.13,78.64,79.64,44236.102,4480,73.54000000000001,73.10000000000001,73.98,,,,,,11051.9,847,71.40000000000001,70.40000000000001,72.32000000000001,29809.1,3589,73.65000000000001,73.11,74.16
Brazoria,48039,282190.56,19240,78.56,78.37000000000001,78.74,83654.898,2223,82.43000000000001,81.96000000000001,82.90000000000001,35788.352,1766,86.29000000000001,85.51000000000001,87.03,162747.3,15251,77.15000000000001,76.92,77.37000000000001,137354.7,9348,80.49,80.23,80.74,39995.301,957,84.36,83.71000000000001,85.04000000000001,16460.699,833,87.13,86.12000000000001,88.15000000000001,80898.70299999999,7558,79.23,78.91,79.53,144835.84,9892,76.7,76.43000000000001,76.96000000000001,43659.602,1266,80.62000000000001,79.92,81.3,19327.65,933,86.14,84.86,87.41,81848.602,7693,75.13,74.81,75.45
